timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
2890431,,,10001.000,,,10000.000,0
2900449,,,9999.000,,,10000.000,0
2910448,,,10001.000,,,10000.000,0
2920449,,,9999.000,,,10000.000,0
2930448,,,10001.000,,,10000.000,0
2940449,,,9999.000,,,10000.000,0
2950448,,,10000.000,,,10000.000,0
2960431,,,10000.000,,,10000.000,0
2970431,,,10000.000,,,10000.000,0
2980431,,,10000.000,,,10000.000,0
2990431,,,10000.000,,,10000.000,0
3000431,,,10001.000,,,10000.000,0
3010449,,,9999.000,,,10000.000,0
3020448,,,10000.000,,,10000.000,0
3030431,,,10000.000,,,10000.000,0
3040431,,,10000.000,,,10000.000,0
3050431,,,10000.000,,,10000.000,0
3060431,,,10000.000,,,10000.000,0
3070431,,,10000.000,,,10000.000,0
3080431,,,10000.000,,,10000.000,0
3090431,,,10000.000,,,10000.000,0
3100431,,,10000.000,,,10000.000,0
3110431,,,10001.000,,,10000.000,0
3120449,,,9999.000,,,10000.000,0
3130448,,,10001.000,,,10000.000,0
3140449,,,9999.000,,,10000.000,0
3150448,,,10000.000,,,10000.000,0
3160431,,,10000.000,,,10000.000,0
3170431,,,10000.000,,,10000.000,0
3180431,,,10000.000,,,10000.000,0
3190431,,,10000.000,,,10000.000,0
3200431,,,10001.000,,,10000.000,0
3210449,,,9999.000,,,10000.000,0
3220448,,,10000.000,,,10000.000,0
3230431,,,10000.000,,,10000.000,0
3240431,,,10000.000,,,10000.000,0
3250431,,,10000.000,,,10000.000,0
3260431,,,10000.000,,,10000.000,0
3270431,,,10000.000,,,10000.000,0
3280431,,,10000.000,,,10000.000,0
3290431,,,10000.000,,,10000.000,0
3300431,,,10000.000,,,10000.000,0
3310431,,,10001.000,,,10000.000,0
3320449,,,9999.000,,,10000.000,0
3330448,,,10001.000,,,10000.000,0
3340449,,,9999.000,,,10000.000,0
3350448,,,10000.000,,,10000.000,0
3360431,,,10000.000,,,10000.000,0
3370431,,,10000.000,,,10000.000,0
3380431,,,10000.000,,,10000.000,0
3390431,,,10000.000,,,10000.000,0
3400431,,,10001.000,,,10000.000,0
3410449,,,9999.000,,,10000.000,0
3420448,,,10000.000,,,10000.000,0
3430431,,,10000.000,,,10000.000,0
3440431,,,10000.000,,,10000.000,0
3450431,,,10000.000,,,10000.000,0
3460431,,,10000.000,,,10000.000,0
3470431,,,10000.000,,,10000.000,0
3480431,,,10000.000,,,10000.000,0
3490431,,,10001.000,,,10000.000,0
3500449,,,9999.000,,,10000.000,0
3510448,,,10001.000,,,10000.000,0
3520449,,,9999.000,,,10000.000,0
3530448,,,10001.000,,,10000.000,0
3540449,,,9999.000,,,10000.000,0
3550448,,,10000.000,,,10000.000,0
3560431,,,10000.000,,,10000.000,0
3570431,,,10000.000,,,10000.000,0
3580431,,,10000.000,,,10000.000,0
3590431,,,10000.000,,,10000.000,0
3600431,,,10001.000,,,10000.000,0
3610449,,,9999.000,,,10000.000,0
3620448,,,10000.000,,,10000.000,0
3630431,,,10000.000,,,10000.000,0
3640431,,,10000.000,,,10000.000,0
3650431,,,10000.000,,,10000.000,0
3660431,,,10000.000,,,10000.000,0
3670431,,,10000.000,,,10000.000,0
3680431,,,10000.000,,,10000.000,0
3690431,,,10000.000,,,10000.000,0
3700431,,,10000.000,,,10000.000,0
3710431,,,10001.000,,,10000.000,0
3720449,,,9999.000,,,10000.000,0
3730448,,,10001.000,,,10000.000,0
3740449,,,9999.000,,,10000.000,0
3750448,,,10000.000,,,10000.000,0
3760431,,,10000.000,,,10000.000,0
3770431,,,10000.000,,,10000.000,0
3780431,,,10000.000,,,10000.000,0
3790431,,,10000.000,,,10000.000,0
3800431,,,10000.000,,,10000.000,0
3810431,,,10001.000,,,10000.000,0
3820449,,,9999.000,,,10000.000,0
3830448,,,10001.000,,,10000.000,0
3840449,,,9999.000,,,10000.000,0
3850448,,,10000.000,,,10000.000,0
3860431,,,10000.000,,,10000.000,0
3870431,,,10000.000,,,10000.000,0
3880431,,,10000.000,,,10000.000,0
3890431,,,10000.000,,,10000.000,0
3900431,,,10001.000,,,10000.000,0
3910449,,,9999.000,,,10000.000,0
3920448,,,10000.000,,,10000.000,0
3930431,,,10000.000,,,10000.000,0
3940431,,,10000.000,,,10000.000,0
3950431,,,10000.000,,,10000.000,0
3960431,,,10000.000,,,10000.000,0
3970431,,,10000.000,,,10000.000,0
3980431,,,10000.000,,,10000.000,0
3990431,,,10000.000,,,10000.000,0
4000431,,,10000.000,,,10000.000,0
4010431,,,10000.000,,,10000.000,0
4020431,,,10000.000,,,10000.000,0
4030431,,,10000.000,,,10000.000,0
4040431,,,10000.000,,,10000.000,0
4050431,,,10000.000,,,10000.000,0
4060431,,,10000.000,,,10000.000,0
4070431,,,10000.000,,,10000.000,0
4080431,,,10000.000,,,10000.000,0
4090431,,,10000.000,,,10000.000,0
4100431,,,10001.000,,,10000.000,0
4110449,,,9999.000,,,10000.000,0
4120448,,,10000.000,,,10000.000,0
4130431,,,10000.000,,,10000.000,0
4140431,,,10000.000,,,10000.000,0
4150431,,,10000.000,,,10000.000,0
4160431,,,10000.000,,,10000.000,0
4170431,,,10000.000,,,10000.000,0
4180431,,,10000.000,,,10000.000,0
4190431,,,10000.000,,,10000.000,0
4200431,,,10000.000,,,10000.000,0
4210431,,,10000.000,,,10000.000,0
4220431,,,10000.000,,,10000.000,0
4230431,,,10000.000,,,10000.000,0
4240431,,,10000.000,,,10000.000,0
4250431,,,10000.000,,,10000.000,0
4260431,,,10000.000,,,10000.000,0
4270431,,,10000.000,,,10000.000,0
4280431,,,10000.000,,,10000.000,0
4290431,,,10000.000,,,10000.000,0
4300431,,,10001.000,,,10000.000,0
4310449,,,9999.000,,,10000.000,0
4320448,,,10001.000,,,10000.000,0
4330449,,,9999.000,,,10000.000,0
4340448,,,10000.000,,,10000.000,0
4350431,,,10000.000,,,10000.000,0
4360431,,,10000.000,,,10000.000,0
4370431,,,10000.000,,,10000.000,0
4380431,,,10000.000,,,10000.000,0
4390431,,,10000.000,,,10000.000,0
4400431,,,10000.000,,,10000.000,0
4410431,,,10001.000,,,10000.000,0
4420449,,,9999.000,,,10000.000,0
4430448,,,10000.000,,,10000.000,0
4440431,,,10000.000,,,10000.000,0
4450431,,,10000.000,,,10000.000,0
4460431,,,10000.000,,,10000.000,0
4470431,,,10000.000,,,10000.000,0
4480431,,,10000.000,,,10000.000,0
4490431,,,10000.000,,,10000.000,0
4500431,,,10001.000,,,10000.000,0
4510449,,,9999.000,,,10000.000,0
4520448,,,10001.000,,,10000.000,0
4530449,,,9999.000,,,10000.000,0
4540448,,,10000.000,,,10000.000,0
4550431,,,10000.000,,,10000.000,0
4560431,,,10000.000,,,10000.000,0
4570431,,,10000.000,,,10000.000,0
4580431,,,10000.000,,,10000.000,0
4590431,,,10001.000,,,10000.000,0
4600449,,,9999.000,,,10000.000,0
4610448,,,10001.000,,,10000.000,0
4620449,,,9999.000,,,10000.000,0
4630448,,,10000.000,,,10000.000,0
4640431,,,10000.000,,,10000.000,0
4650431,,,10000.000,,,10000.000,0
4660431,,,10000.000,,,10000.000,0
4670431,,,10000.000,,,10000.000,0
4680431,,,10000.000,,,10000.000,0
4690431,,,10000.000,,,10000.000,0
4700431,,,10001.000,,,10000.000,0
4710449,,,9999.000,,,10000.000,0
4720448,,,10000.000,,,10000.000,0
4730431,,,10000.000,,,10000.000,0
4740431,,,10000.000,,,10000.000,0
4750431,,,10000.000,,,10000.000,0
4760431,,,10000.000,,,10000.000,0
4770431,,,10000.000,,,10000.000,0
4780431,,,10000.000,,,10000.000,0
4790431,,,10000.000,,,10000.000,0
4800431,,,10001.000,,,10000.000,0
4810449,,,9999.000,,,10000.000,0
4820448,,,10000.000,,,10000.000,0
4830431,,,10000.000,,,10000.000,0
4840431,,,10000.000,,,10000.000,0
4850431,,,10000.000,,,10000.000,0
4860431,,,10000.000,,,10000.000,0
4870431,,,10000.000,,,10000.000,0
4880431,,,10000.000,,,10000.000,0
4890431,,,10001.000,,,10000.000,0
4900449,,,9999.000,,,10000.000,0
4910448,,,10001.000,,,10000.000,0
4920449,,,9999.000,,,10000.000,0
4930448,,,10000.000,,,10000.000,0
