timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
19600434,,,50000.000,,,50000.000,0
19650434,,,50000.000,,,50000.000,0
19700434,,,50000.000,,,50000.000,0
19750434,,,50000.000,,,50000.000,0
19800434,,,50000.000,,,50000.000,0
19850434,,,50000.000,,,50000.000,0
19900434,,,50000.000,,,50000.000,0
19950434,,,50000.000,,,50000.000,0
20000433,,,50000.000,,,50000.000,0
20050434,,,50000.000,,,50000.000,0
20100434,,,50000.000,,,50000.000,0
20150434,,,50000.000,,,50000.000,0
20200434,,,50000.000,,,50000.000,0
20250434,,,50000.000,,,50000.000,0
20300433,,,50000.000,,,50000.000,0
20350434,,,50000.000,,,50000.000,0
20400433,,,50000.000,,,50000.000,0
20450434,,,50000.000,,,50000.000,0
20500434,,,50000.000,,,50000.000,0
20550434,,,50000.000,,,50000.000,0
20600434,,,50000.000,,,50000.000,0
20650434,,,50000.000,,,50000.000,0
20700434,,,50000.000,,,50000.000,0
20750434,,,50000.000,,,50000.000,0
20800434,,,50000.000,,,50000.000,0
20850433,,,50000.000,,,50000.000,0
20900434,,,50000.000,,,50000.000,0
20950433,,,50000.000,,,50000.000,0
21000433,,,50000.000,,,50000.000,0
21050433,,,50000.000,,,50000.000,0
21100434,,,50000.000,,,50000.000,0
21150434,,,50000.000,,,50000.000,0
21200434,,,50000.000,,,50000.000,0
21250434,,,50000.000,,,50000.000,0
21300434,,,50000.000,,,50000.000,0
21350433,,,50000.000,,,50000.000,0
21400434,,,50000.000,,,50000.000,0
21450433,,,50000.000,,,50000.000,0
21500434,,,50000.000,,,50000.000,0
21550434,,,50000.000,,,50000.000,0
21600434,,,50000.000,,,50000.000,0
21650434,,,50000.000,,,50000.000,0
21700434,,,50000.000,,,50000.000,0
21750434,,,50000.000,,,50000.000,0
21800433,,,50000.000,,,50000.000,0
21850434,,,50000.000,,,50000.000,0
21900434,,,50000.000,,,50000.000,0
21950434,,,50000.000,,,50000.000,0
22000434,,,50000.000,,,50000.000,0
22050433,,,50000.000,,,50000.000,0
22100433,,,50000.000,,,50000.000,0
22150434,,,50000.000,,,50000.000,0
22200433,,,50000.000,,,50000.000,0
22250433,,,50000.000,,,50000.000,0
22300434,,,50000.000,,,50000.000,0
22350434,,,50000.000,,,50000.000,0
22400434,,,50000.000,,,50000.000,0
