timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
11551,-717.176,2719.294,50000.000,51.00,791.882,3668.059,50000.000,64.00,0
11601,-672.353,1068.294,50000.000,37.00,418.353,2024.529,50000.000,63.00,0
11651,52.294,-1972.235,50000.000,38.00,-1053.353,-1090.706,50000.000,40.00,0
11701,552.823,776.941,50000.000,44.00,508.000,-515.471,50000.000,52.00,0
11751,1837.765,3033.059,50000.000,31.00,2413.000,298.824,50000.000,80.00,0
11801,4684.059,2794.000,50000.000,45.00,4153.647,-1621.118,50000.000,52.00,0
11851,7164.293,2950.882,50000.000,43.00,5617.882,-4228.353,50000.000,65.00,0
11901,8008.470,2554.941,50000.000,30.00,6648.823,-3122.706,50000.000,58.00,0
11951,6357.470,-926.353,50000.000,45.00,5939.117,-224.118,50000.000,79.00,0
12001,6723.529,-956.235,50000.000,35.00,5431.117,-343.647,50000.000,61.00,0
12051,6245.411,1882.588,50000.000,33.00,6574.117,1553.882,50000.000,88.00,0
12101,7672.293,1030.941,50000.000,51.00,6917.764,-104.588,50000.000,76.00,0
12151,9599.705,1322.294,50000.000,36.00,7918.823,-3197.412,50000.000,74.00,0
12201,11885.705,1501.588,50000.000,32.00,9696.823,-4885.764,50000.000,77.00,0
12251,14597.528,1382.059,50000.000,33.00,11549.528,-6320.117,50000.000,53.00,0
12301,17839.764,717.176,50000.000,44.00,13447.058,-9345.705,50000.000,39.00,1
12351,19580.410,403.412,50000.000,28.00,14731.999,-9450.294,50000.000,46.00,1
12401,19348.822,2203.823,50000.000,37.00,15725.587,-7455.646,50000.000,34.00,0
12451,18922.998,2868.706,50000.000,34.00,16629.527,-2629.647,50000.000,68.00,0
12501,18527.057,2741.706,50000.000,43.00,16435.293,-1202.765,50000.000,72.00,0
12551,18803.469,1598.706,50000.000,37.00,16719.176,-3451.412,50000.000,40.00,0
12601,17862.176,747.059,50000.000,56.00,15449.176,-3414.059,50000.000,42.00,0
12651,14358.470,-2644.588,50000.000,29.00,12797.117,-3473.823,50000.000,34.00,0
12701,10578.353,-6402.293,50000.000,44.00,8434.294,-4086.411,50000.000,66.00,0
12751,9876.117,-4071.470,50000.000,45.00,7478.058,-4713.941,50000.000,71.00,0
12801,9465.234,-3122.706,50000.000,49.00,7470.588,-6357.470,50000.000,34.00,0
12851,9876.117,-4437.529,50000.000,51.00,6081.059,-9375.588,50000.000,59.00,0
12901,9584.764,-3608.294,50000.000,48.00,5819.588,-10727.764,50000.000,31.00,0
12951,8718.176,-4437.529,50000.000,44.00,4826.000,-12909.176,50000.000,40.00,0
13001,7657.353,-5124.823,50000.000,47.00,4019.176,-10421.470,50000.000,77.00,0
13051,4833.470,-3316.941,50000.000,65.00,3249.706,-3593.353,50000.000,52.00,0
13101,2950.882,-4758.764,50000.000,58.00,2353.235,-1972.235,50000.000,39.00,0
13151,3130.176,-6409.764,50000.000,51.00,971.176,-4295.588,50000.000,30.00,0
13201,3182.470,-4108.823,50000.000,46.00,1680.882,-5655.235,50000.000,42.00,0
13251,3451.412,-2898.588,50000.000,57.00,1763.059,-6999.941,50000.000,56.00,0
13301,3720.353,-3742.764,50000.000,52.00,1606.176,-7605.058,50000.000,61.00,0
13351,3145.117,-4699.000,50000.000,39.00,1636.059,-5954.059,50000.000,47.00,0
13401,2286.000,-5998.882,50000.000,44.00,343.647,-6237.941,50000.000,20.00,0
13451,2547.470,-6805.706,50000.000,32.00,-776.941,-8777.940,50000.000,60.00,0
