timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
14450433,,,50000.000,,,50000.000,0
14500433,,,50000.000,,,50000.000,0
14550433,,,50000.000,,,50000.000,0
14600433,,,50000.000,,,50000.000,0
14650433,,,50000.000,,,50000.000,0
14700433,,,50000.000,,,50000.000,0
14750433,,,50000.000,,,50000.000,0
14800433,,,50000.000,,,50000.000,0
14850433,,,50000.000,,,50000.000,0
14900433,,,50000.000,,,50000.000,0
14950433,,,50000.000,,,50000.000,0
15000433,,,50000.000,,,50000.000,0
15050433,,,50000.000,,,50000.000,0
15100433,,,50000.000,,,50000.000,0
15150433,,,50000.000,,,50000.000,0
15200433,,,50000.000,,,50000.000,0
15250433,,,50000.000,,,50000.000,0
15300433,,,50000.000,,,50000.000,0
15350433,,,50000.000,,,50000.000,0
15400433,,,50000.000,,,50000.000,0
15450433,,,50000.000,,,50000.000,0
15500433,,,50000.000,,,50002.000,0
15550447,,,50000.000,,,50000.000,0
15600433,,,50000.000,,,50000.000,0
15650433,,,50000.000,,,50000.000,0
15700433,,,50000.000,,,50000.000,0
15750433,,,50000.000,,,50000.000,0
15800433,,,50000.000,,,50000.000,0
15850433,,,50000.000,,,50000.000,0
15900433,,,50000.000,,,50000.000,0
15950433,,,50000.000,,,50000.000,0
16000433,,,50000.000,,,50000.000,0
16050433,,,50000.000,,,50000.000,0
16100433,,,50000.000,,,50000.000,0
16150433,,,50000.000,,,50000.000,0
16200433,,,50000.000,,,50000.000,0
16250433,,,50000.000,,,50000.000,0
16300433,,,50000.000,,,50000.000,0
16350433,,,50000.000,,,50000.000,0
16400433,,,50000.000,,,50000.000,0
16450433,,,50000.000,,,50000.000,0
16500433,,,50000.000,,,50000.000,0
16550433,,,50000.000,,,50000.000,0
16600433,,,50000.000,,,50000.000,0
16650433,,,50000.000,,,50000.000,0
16700433,,,50000.000,,,50000.000,0
16750433,,,50000.000,,,50000.000,0
16800433,,,50000.000,,,50000.000,0
16850433,,,50000.000,,,50000.000,0
16900433,,,50000.000,,,50000.000,0
16950433,,,50000.000,,,50000.000,0
17000433,,,50000.000,,,50000.000,0
17050433,,,50000.000,,,50000.000,0
17100433,,,50000.000,,,50000.000,0
17150433,,,50000.000,,,50000.000,0
17200433,,,50000.000,,,50000.000,0
