timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
2841,0.000,-14.941,20000.000,160,0.000,0.000,20000.000,32,0
2861,0.000,-14.941,20000.000,160,0.000,0.000,20000.000,32,0
2881,7.471,-14.941,20000.000,160,7.471,-7.471,20000.000,160,0
2901,7.471,-14.941,20000.000,160,7.471,-7.471,20000.000,160,0
2921,0.000,-7.471,20000.000,160,0.000,-7.471,20000.000,160,0
2941,0.000,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
2961,7.471,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
2981,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3001,0.000,0.000,20000.000,32,0.000,-7.471,20000.000,160,0
3021,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3041,7.471,-14.941,20000.000,160,0.000,0.000,20000.000,32,0
3061,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3081,7.471,0.000,20000.000,160,0.000,0.000,20000.000,32,0
3101,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3121,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3141,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3161,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3181,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3201,0.000,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
3221,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3241,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3261,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3281,7.471,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
3301,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3321,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3341,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3361,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3381,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3401,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3421,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3441,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3461,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3481,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3501,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3521,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3541,7.471,1673.412,20000.000,160,0.000,0.000,20000.000,32,0
3561,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3581,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3601,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3621,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3641,7.471,0.000,20000.000,160,0.000,0.000,20000.000,32,0
3661,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3681,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3701,0.000,0.000,20000.000,32,7.471,0.000,20000.000,160,0
3721,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3741,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3761,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3781,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3801,0.000,0.000,20000.000,32,0.000,-1680.882,20000.000,32,0
3821,0.000,0.000,20000.000,32,0.000,-7.471,20000.000,160,0
3841,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3861,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3881,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3901,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3921,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3941,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3961,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
3981,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4001,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4021,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4041,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4061,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4081,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4101,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4121,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4141,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4161,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
