timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
5201,89.647,-164.353,5220309.000,0,0.000,0.000,5220305.000,0,0
5221,89.647,-164.353,5240309.000,0,0.000,0.000,5240305.000,0,0
5241,89.647,-164.353,5260309.000,0,0.000,0.000,5260305.000,0,0
5261,89.647,-164.353,5280309.000,0,0.000,0.000,5280305.000,0,0
5281,89.647,-164.353,5300309.000,0,0.000,0.000,5300305.000,0,0
5301,89.647,-164.353,5320309.000,0,0.000,0.000,5320305.000,0,0
5321,89.647,-164.353,5340309.000,0,0.000,0.000,5340305.000,0,0
5341,89.647,-164.353,5360309.000,0,0.000,0.000,5360305.000,0,0
5361,89.647,-164.353,5380309.000,0,0.000,0.000,5380305.000,0,0
5381,89.647,-164.353,5400309.000,0,0.000,0.000,5400305.000,0,0
5401,89.647,-164.353,5420309.000,0,0.000,0.000,5420305.000,0,0
5421,89.647,-164.353,5440309.000,0,0.000,0.000,5440305.000,0,0
5441,89.647,-164.353,5460309.000,0,0.000,0.000,5460305.000,0,0
5461,89.647,-164.353,5480309.000,0,0.000,0.000,5480305.000,0,0
5481,89.647,-164.353,5500309.000,0,0.000,0.000,5500305.000,0,0
5501,89.647,-164.353,5520309.000,0,0.000,0.000,5520305.000,0,0
5521,89.647,-164.353,5540309.000,0,0.000,0.000,5540305.000,0,0
5541,89.647,-164.353,5560309.000,0,0.000,0.000,5560305.000,0,0
5561,89.647,-164.353,5580309.000,0,0.000,0.000,5580305.000,0,0
5581,89.647,-164.353,5600309.000,0,0.000,0.000,5600305.000,0,0
5601,89.647,-164.353,5620309.000,0,0.000,0.000,5620305.000,0,0
5621,89.647,-164.353,5640309.000,0,0.000,0.000,5640305.000,0,0
5641,89.647,-164.353,5660309.000,0,0.000,0.000,5660305.000,0,0
5661,89.647,-164.353,5680309.000,0,0.000,0.000,5680305.000,0,0
5681,89.647,-164.353,5700309.000,0,0.000,0.000,5700305.000,0,0
5701,89.647,-164.353,5720309.000,0,0.000,0.000,5720305.000,0,0
5721,89.647,-164.353,5740309.000,0,0.000,0.000,5740305.000,0,0
5741,89.647,-164.353,5760309.000,0,0.000,0.000,5760305.000,0,0
5761,89.647,-164.353,5780309.000,0,0.000,0.000,5780305.000,0,0
5781,89.647,-164.353,5800309.000,0,0.000,0.000,5800305.000,0,0
5801,89.647,-164.353,5820309.000,0,0.000,0.000,5820305.000,0,0
5821,89.647,-164.353,5840309.000,0,0.000,0.000,5840305.000,0,0
5841,89.647,-164.353,5860309.000,0,0.000,0.000,5860305.000,0,0
5861,89.647,-164.353,5880309.000,0,0.000,0.000,5880305.000,0,0
5881,89.647,-164.353,5900309.000,0,0.000,0.000,5900305.000,0,0
5901,89.647,-164.353,5920309.000,0,0.000,0.000,5920305.000,0,0
5921,89.647,-164.353,5940309.000,0,0.000,0.000,5940305.000,0,0
5941,89.647,-164.353,5960309.000,0,0.000,0.000,5960305.000,0,0
5961,89.647,-164.353,5980309.000,0,0.000,0.000,5980305.000,0,0
5981,89.647,-164.353,6000309.000,0,0.000,0.000,6000305.000,0,0
6001,89.647,-164.353,6020309.000,0,0.000,0.000,6020305.000,0,0
6021,89.647,-164.353,6040309.000,0,0.000,0.000,6040305.000,0,0
6041,89.647,-164.353,6060309.000,0,0.000,0.000,6060305.000,0,0
6061,89.647,-164.353,6080309.000,0,0.000,0.000,6080305.000,0,0
6081,89.647,-164.353,6100309.000,0,0.000,0.000,6100305.000,0,0
6101,89.647,-164.353,6120309.000,0,0.000,0.000,6120305.000,0,0
6121,89.647,-164.353,6140309.000,0,0.000,0.000,6140305.000,0,0
6141,89.647,-164.353,6160309.000,0,0.000,0.000,6160305.000,0,0
6161,89.647,-164.353,6180309.000,0,0.000,0.000,6180305.000,0,0
6181,89.647,-164.353,6200309.000,0,0.000,0.000,6200305.000,0,0
6201,89.647,-164.353,6220309.000,0,0.000,0.000,6220305.000,0,0
6221,89.647,-164.353,6240309.000,0,0.000,0.000,6240305.000,0,0
6241,89.647,-164.353,6260309.000,0,0.000,0.000,6260305.000,0,0
6261,89.647,-164.353,6280309.000,0,0.000,0.000,6280305.000,0,0
6281,89.647,-164.353,6300309.000,0,0.000,0.000,6300305.000,0,0
6301,89.647,-164.353,6320309.000,0,0.000,0.000,6320305.000,0,0
6321,89.647,-164.353,6340309.000,0,0.000,0.000,6340305.000,0,0
6341,89.647,-164.353,6360309.000,0,0.000,0.000,6360305.000,0,0
6361,89.647,-164.353,6380309.000,0,0.000,0.000,6380305.000,0,0
6381,89.647,-164.353,6400309.000,0,0.000,0.000,6400305.000,0,0
6401,89.647,-164.353,6420309.000,0,0.000,0.000,6420305.000,0,0
6421,89.647,-164.353,6440309.000,0,0.000,0.000,6440305.000,0,0
6441,89.647,-164.353,6460309.000,0,0.000,0.000,6460305.000,0,0
6461,89.647,-164.353,6480309.000,0,0.000,0.000,6480305.000,0,0
6481,89.647,-164.353,6500309.000,0,0.000,0.000,6500305.000,0,0
6501,89.647,-164.353,6520309.000,0,0.000,0.000,6520305.000,0,0
6521,89.647,-164.353,6540309.000,0,0.000,0.000,6540305.000,0,0
6541,89.647,-164.353,6560309.000,0,0.000,0.000,6560305.000,0,0
6561,89.647,-164.353,6580309.000,0,0.000,0.000,6580305.000,0,0
6581,89.647,-164.353,6600309.000,0,0.000,0.000,6600305.000,0,0
6601,89.647,-164.353,6620309.000,0,0.000,0.000,6620305.000,0,0
6621,89.647,-164.353,6640309.000,0,0.000,0.000,6640305.000,0,0
6641,89.647,-164.353,6660309.000,0,0.000,0.000,6660305.000,0,0
6661,89.647,-164.353,6680309.000,0,0.000,0.000,6680305.000,0,0
6681,89.647,-164.353,6700309.000,0,0.000,0.000,6700305.000,0,0
6701,89.647,-164.353,6720309.000,0,0.000,0.000,6720305.000,0,0
6721,89.647,-164.353,6740309.000,0,0.000,0.000,6740305.000,0,0
6741,89.647,-164.353,6760309.000,0,0.000,0.000,6760305.000,0,0
6761,89.647,-164.353,6780309.000,0,0.000,0.000,6780305.000,0,0
6781,89.647,-164.353,6800309.000,0,0.000,0.000,6800305.000,0,0
6801,89.647,-164.353,6820309.000,0,0.000,0.000,6820305.000,0,0
6821,89.647,-164.353,6840309.000,0,0.000,0.000,6840305.000,0,0
6841,89.647,-164.353,6860309.000,0,0.000,0.000,6860305.000,0,0
6861,89.647,-164.353,6880309.000,0,0.000,0.000,6880305.000,0,0
6881,89.647,-164.353,6900309.000,0,0.000,0.000,6900305.000,0,0
6901,89.647,-164.353,6920309.000,0,0.000,0.000,6920305.000,0,0
6921,89.647,-164.353,6940309.000,0,0.000,0.000,6940305.000,0,0
6941,89.647,-164.353,6960309.000,0,0.000,0.000,6960305.000,0,0
6961,89.647,-164.353,6980309.000,0,0.000,0.000,6980305.000,0,0
6981,89.647,-164.353,7000309.000,0,0.000,0.000,7000305.000,0,0
7001,89.647,-164.353,7020309.000,0,0.000,0.000,7020305.000,0,0
7021,89.647,-164.353,7040309.000,0,0.000,0.000,7040305.000,0,0
7041,89.647,-164.353,7060309.000,0,0.000,0.000,7060305.000,0,0
7061,89.647,-164.353,7080309.000,0,0.000,0.000,7080305.000,0,0
7081,89.647,-164.353,7100309.000,0,0.000,0.000,7100305.000,0,0
7101,89.647,-164.353,7120309.000,0,0.000,0.000,7120305.000,0,0
7121,89.647,-164.353,7140309.000,0,0.000,0.000,7140305.000,0,0
7141,89.647,-164.353,7160309.000,0,0.000,0.000,7160305.000,0,0
7161,89.647,-164.353,7180309.000,0,0.000,0.000,7180305.000,0,0
7181,89.647,-164.353,7200309.000,0,0.000,0.000,7200305.000,0,0
7201,89.647,-164.353,7220309.000,0,0.000,0.000,7220305.000,0,0
7221,89.647,-164.353,7240309.000,0,0.000,0.000,7240305.000,0,0
7241,89.647,-164.353,7260309.000,0,0.000,0.000,7260305.000,0,0
7261,89.647,-164.353,7280309.000,0,0.000,0.000,7280305.000,0,0
7281,89.647,-164.353,7300309.000,0,0.000,0.000,7300305.000,0,0
