timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
8851,-89.647,-1636.059,50000.000,54.00,-993.588,-3302.000,50000.000,59.00,0
8901,-1023.471,-343.647,50000.000,55.00,-1165.412,-3107.764,50000.000,69.00,0
8951,-463.176,-1247.588,50000.000,95.00,-1830.294,-6230.470,50000.000,65.00,0
9001,37.353,-6910.293,50000.000,68.00,-2554.941,-8628.529,50000.000,74.00,0
9051,478.118,-10578.353,50000.000,54.00,-3668.059,-11190.940,50000.000,61.00,0
9101,844.176,-9995.646,50000.000,60.00,-3668.059,-11915.588,50000.000,53.00,0
9151,724.647,-4900.706,50000.000,77.00,-2540.000,-10533.528,50000.000,37.00,0
9201,-14.941,-3429.000,50000.000,100.00,-2091.765,-7963.646,50000.000,55.00,0
9251,-1090.706,-7560.235,50000.000,92.00,-2741.706,-5894.294,50000.000,69.00,0
9301,-1972.235,-11474.822,50000.000,67.00,-4049.059,-6940.176,50000.000,53.00,0
9351,-2009.588,-11781.117,50000.000,64.00,-4773.706,-8187.764,50000.000,85.00,0
9401,-2390.588,-9435.353,50000.000,47.00,-4788.647,-9719.234,50000.000,32.00,0
9451,-2413.000,-9368.117,50000.000,70.00,-5483.412,-10257.117,50000.000,41.00,0
9501,-2674.470,-11788.588,50000.000,60.00,-5139.764,-7993.529,50000.000,64.00,0
9551,-3137.647,-13215.470,50000.000,44.00,-5199.529,-5393.764,50000.000,67.00,0
9601,-3585.882,-10272.059,50000.000,51.00,-5266.764,-6170.706,50000.000,78.00,0
9651,-3705.412,-7657.353,50000.000,42.00,-5289.176,-7739.529,50000.000,79.00,0
9701,-3854.823,-8516.470,50000.000,40.00,-6208.059,-8254.999,50000.000,97.00,0
9751,-4146.176,-10085.293,50000.000,58.00,-5700.059,-6432.176,50000.000,62.00,0
9801,-4198.470,-11190.940,50000.000,44.00,-5856.941,-6910.293,50000.000,45.00,0
9851,-4041.588,-10361.705,50000.000,42.00,-6245.411,-9233.646,50000.000,68.00,0
9901,-3854.823,-7941.235,50000.000,55.00,-5670.176,-10862.234,50000.000,71.00,0
9951,-3399.117,-8247.529,50000.000,37.00,-5797.176,-10249.646,50000.000,37.00,0
10001,-3847.353,-10780.058,50000.000,34.00,-5715.000,-7806.764,50000.000,71.00,0
10051,-3563.470,-12550.587,50000.000,34.00,-5856.941,-9054.353,50000.000,71.00,0
10101,-3765.176,-11923.058,50000.000,53.00,-6267.823,-9988.176,50000.000,66.00,0
10151,-4826.000,-10996.705,50000.000,41.00,-6566.646,-9726.705,50000.000,45.00,0
10201,-5057.588,-11467.353,50000.000,57.00,-7620.000,-7425.764,50000.000,29.00,0
10251,-6133.353,-9823.823,50000.000,40.00,-7059.706,-3384.176,50000.000,62.00,0
10301,-6536.764,-8553.823,50000.000,37.00,-7672.293,-4654.176,50000.000,83.00,0
10351,-5341.470,-5132.294,50000.000,45.00,-7306.235,-7784.353,50000.000,51.00,0
10401,-4654.176,298.824,50000.000,28.00,-5236.882,-7612.529,50000.000,67.00,0
10451,-2846.294,1449.294,50000.000,38.00,-3339.353,-6447.117,50000.000,68.00,0
10501,-1546.412,-1822.823,50000.000,31.00,-2427.941,-5363.882,50000.000,40.00,0
10551,-388.471,-5408.706,50000.000,28.00,-2375.647,-7261.411,50000.000,41.00,0
10601,821.765,-5789.706,50000.000,40.00,-2330.823,-10003.117,50000.000,26.00,0
10651,1785.470,-1770.529,50000.000,39.00,-1710.765,-12326.470,50000.000,39.00,0
10701,2779.059,-552.823,50000.000,51.00,-836.706,-14761.882,50000.000,60.00,0
10751,3421.529,-5012.764,50000.000,32.00,-582.706,-15210.116,50000.000,35.00,0
10801,4064.000,-8486.588,50000.000,46.00,-918.882,-15927.293,50000.000,54.00,0
10851,3526.117,-6245.411,50000.000,40.00,-575.235,-15307.234,50000.000,28.00,0
10901,3346.823,-5416.176,50000.000,55.00,-717.176,-15464.116,50000.000,78.00,0
10951,3100.294,-9218.705,50000.000,42.00,-851.647,-14096.999,50000.000,70.00,0
11001,3189.941,-11631.705,50000.000,47.00,-1441.823,-13394.764,50000.000,70.00,0
11051,2435.412,-10130.117,50000.000,45.00,-1778.000,-12087.411,50000.000,64.00,0
