timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
7968291,-82.176,-164.353,50128.000,-1.992,-1.992,50129.000,t=9.5226078033
8018399,-2061.882,1673.412,763.000,-1.992,-1.992,1379.000,t=9.5727281570
8019782,0.000,0.000,49362.000,-1.992,-1.992,48745.000,t=9.6228437423
8068391,-5752.353,-7.471,50125.000,-1.992,-1.992,50127.000,t=9.6729602813
8118638,0.000,1673.412,50125.000,-1.992,-1.992,50123.000,t=9.7230720520
8168713,0.000,29.882,50134.000,-1.992,-1.992,50134.000,t=9.7731838226
8218843,37.353,-1778.000,50127.000,-1.992,-1.992,50127.000,t=9.8233041763
8269039,14.941,-134.471,50126.000,-1.992,-1.992,50128.000,t=9.8734159469
8319161,22.412,-134.471,50128.000,-1.992,-1.992,50126.000,t=9.9235239028
8369283,-156.882,-67.235,758.000,-1.992,-1.992,1379.000,t=9.9736318588
8370658,-7.471,0.000,49374.000,-1.992,-1.992,48753.000,t=10.0237360000
8419334,-216.647,-44.824,50133.000,-1.992,-1.992,50133.000,t=10.0738477706
8469554,-14.941,-74.706,763.000,-1.992,-1.992,1380.000,t=10.1239595413
8470922,0.000,0.000,49369.000,-1.992,-1.992,48755.000,t=10.1740722656
8519563,141.941,141.941,50126.000,-1.992,-1.992,50124.000,t=10.2241916656
8569820,67.235,141.941,50129.000,-1.992,-1.992,50128.000,t=10.2743120193
8619939,67.235,156.882,761.000,-1.992,-1.992,1380.000,t=10.3244237899
8621311,0.000,149.412,49366.000,-1.992,-1.992,48747.000,t=10.3745355606
8670007,134.471,149.412,50128.000,-1.992,-1.992,50128.000,t=10.4246482849
8720192,37.353,44.824,759.000,-1.992,-1.992,1381.000,t=10.4747600555
8721557,0.000,0.000,49362.000,-1.992,-1.992,48740.000,t=10.5248718261
8770188,7.471,52.294,50125.000,-1.992,-1.992,50125.000,t=10.5749835968
8820414,82.176,343.647,736.000,-1.992,-1.992,1381.000,t=10.6251001358
8821808,0.000,7.471,49385.000,-1.992,-1.992,48741.000,t=10.6752157211
8870475,-261.471,351.118,676.000,-1.992,-1.992,1380.000,t=10.7253236770
8871938,-7.471,7.471,49447.000,-1.992,-1.992,48744.000,t=10.7754364013
8920647,-149.412,-67.235,50123.000,-1.992,-1.992,50122.000,t=10.8255481719
8970816,52.294,1434.353,50138.000,-1.992,-1.992,50138.000,t=10.8756599426
9020959,5871.882,44.824,50139.000,-1.992,-1.992,50138.000,t=10.9257678985
9071093,-14.941,14.941,50129.000,-1.992,-1.992,50129.000,t=10.9758796691
9121211,-7.471,14.941,50127.000,-1.992,-1.992,50127.000,t=11.0259962081
